Paese,Clic,Impressioni,CTR,Posizione
Italia,56941,2419879,2.35%,8.16
Stati Uniti,34239,4379417,0.78%,24.56
Giappone,15477,424477,3.65%,18.58
Regno Unito,9560,1336858,0.72%,17.39
Russia,8480,1512405,0.56%,26.81
Ucraina,5893,491281,1.2%,17.94
Australia,5675,549236,1.03%,14.4
Canada,5327,460786,1.16%,17.43
Germania,2929,200742,1.46%,22.13
Francia,2261,123388,1.83%,29.64
Singapore,1807,106057,1.7%,18.89
Paesi Bassi,1707,102444,1.67%,20.42
Svizzera,1693,55872,3.03%,15.7
Hong Kong,1676,68972,2.43%,19.9
Bielorussia,1520,131556,1.16%,16.37
India,1394,546038,0.26%,35.47
Irlanda,1281,87940,1.46%,13.33
Corea del Sud,1173,177920,0.66%,41.99
Malaysia,1138,193440,0.59%,33.25
Taiwan,1097,150154,0.73%,39.12
Pakistan,1097,121764,0.9%,32.88
Grecia,990,42129,2.35%,20.01
Spagna,930,89520,1.04%,33.5
Svezia,771,59169,1.3%,24.53
Polonia,700,94985,0.74%,31.27
Belgio,693,36210,1.91%,21.34
Filippine,652,305494,0.21%,40.5
Israele,643,40906,1.57%,26.23
Nuova Zelanda,631,58789,1.07%,18.17
Indonesia,615,378971,0.16%,43.06
Turchia,564,176293,0.32%,38.81
Danimarca,525,25794,2.04%,15.98
Austria,488,24273,2.01%,23.16
Emirati Arabi Uniti,480,71792,0.67%,24.18
Kazakistan,475,108688,0.44%,19.69
Finlandia,435,30952,1.41%,16.09
Romania,431,64545,0.67%,35.97
Repubblica Ceca,408,41106,0.99%,28.02
Cina,395,24023,1.64%,16.66
Croazia,386,18039,2.14%,20.4
Vietnam,380,368140,0.1%,44.03
Portogallo,361,37848,0.95%,29.37
Sudafrica,330,85143,0.39%,25.77
Ungheria,289,30842,0.94%,29.38
Norvegia,287,27849,1.03%,19.73
Tailandia,285,201649,0.14%,41.75
Regione sconosciuta,282,51307,0.55%,31.32
Bulgaria,274,33105,0.83%,33.97
Arabia Saudita,260,56200,0.46%,34.17
Lituania,259,31656,0.82%,34.44
Messico,248,158950,0.16%,39.75
Lettonia,230,21608,1.06%,28.16
Serbia,225,37018,0.61%,36.26
Slovenia,215,13391,1.61%,25.65
Brasile,189,558681,0.03%,45.41
Egitto,180,84562,0.21%,36.77
Estonia,177,10482,1.69%,18.69
Bangladesh,170,82829,0.21%,39.32
Iran,164,45756,0.36%,33.24
Cipro,157,8917,1.76%,25.83
Slovacchia,152,16414,0.93%,27.78
Malta,150,6056,2.48%,13.23
Nigeria,149,22667,0.66%,28.12
Moldavia,148,18301,0.81%,22.41
Armenia,127,15580,0.82%,25.08
Lussemburgo,126,4069,3.1%,15.98
Kuwait,120,13984,0.86%,27.64
Kirghizistan,117,20627,0.57%,11.24
Uzbekistan,109,23702,0.46%,19.33
Georgia,108,29595,0.36%,34.54
Qatar,105,13178,0.8%,31.57
Azerbaigian,103,18355,0.56%,28.23
Albania,98,15472,0.63%,33.19
Macao,84,3206,2.62%,18.12
Colombia,71,110910,0.06%,44.22
Perù,70,55528,0.13%,43.47
Portorico,70,7709,0.91%,27.9
Cile,67,41042,0.16%,41.63
Giordania,67,21391,0.31%,35.15
Kenya,64,24140,0.27%,34.54
Bosnia ed Erzegovina,63,13214,0.48%,37.38
Libano,62,12204,0.51%,29.42
Marocco,61,60630,0.1%,41.28
Sri Lanka,59,23649,0.25%,36.22
Tunisia,54,20498,0.26%,39.58
Islanda,53,2689,1.97%,15.24
Cambogia,50,26122,0.19%,37.55
Seychelles,49,3704,1.32%,29.35
Bahrein,48,6871,0.7%,33.28
Argentina,47,180850,0.03%,45.02
Oman,46,5380,0.86%,32.32
Montenegro,45,4265,1.06%,29.16
Repubblica Dominicana,42,30738,0.14%,43.7
Mauritius,37,5021,0.74%,23.09
San Marino,36,1232,2.92%,7.91
Myanmar (Birmania),34,11895,0.29%,33
Panama,33,10827,0.3%,41.01
Ghana,33,10642,0.31%,32.52
Iraq,32,28352,0.11%,39.53
Giamaica,31,12906,0.24%,34.26
Ecuador,27,48695,0.06%,45.38
Costa Rica,24,11199,0.21%,39.58
Macedonia,24,9023,0.27%,35
Algeria,21,48895,0.04%,41.82
Nepal,21,31892,0.07%,41.22
Uruguay,21,9611,0.22%,42.44
Uganda,21,4587,0.46%,31.16
Venezuela,20,36692,0.05%,44.75
Guatemala,19,10639,0.18%,42.29
Turkmenistan,19,3609,0.53%,4.99
Mongolia,18,10329,0.17%,35.33
Brunei,18,2878,0.63%,25.7
Bahamas,17,5120,0.33%,33.42
Tagikistan,17,3439,0.49%,14.9
Isola di Man,17,1278,1.33%,9.69
Costa d'Avorio,16,3429,0.47%,41.16
Monaco,15,329,4.56%,7.54
Trinidad e Tobago,14,14026,0.1%,35.01
Guernsey,14,629,2.23%,10.54
Etiopia,13,12862,0.1%,38.19
Laos,13,7691,0.17%,40.18
Jersey,13,792,1.64%,13.76
Honduras,12,9122,0.13%,42.11
El Salvador,12,7548,0.16%,42.51
Namibia,11,2274,0.48%,35.49
Maldive,11,2097,0.52%,29.95
Libia,10,9553,0.1%,40.83
Kosovo,10,5783,0.17%,38.96
Camerun,10,2405,0.42%,34.97
