Data,Clic,Impressioni,CTR,Posizione
2022-11-05,435,38931,1.12%,20.03
2022-11-04,428,37813,1.13%,21.33
2022-11-03,370,37234,0.99%,21.59
2022-11-02,376,38185,0.98%,22.27
2022-11-01,457,39386,1.16%,22.2
2022-10-31,390,36664,1.06%,21.75
2022-10-30,453,38076,1.19%,20.56
2022-10-29,386,37170,1.04%,21.36
2022-10-28,356,37562,0.95%,21.01
2022-10-27,358,36888,0.97%,20.61
2022-10-26,370,39314,0.94%,20.75
2022-10-25,402,37665,1.07%,20.04
2022-10-24,416,38567,1.08%,19.79
2022-10-23,462,40644,1.14%,18.77
2022-10-22,410,39767,1.03%,20.05
2022-10-21,397,38835,1.02%,20.37
2022-10-20,436,38124,1.14%,20.62
2022-10-19,372,38010,0.98%,19.92
2022-10-18,372,37820,0.98%,20.2
2022-10-17,399,40032,1%,20.34
2022-10-16,437,41570,1.05%,20.07
2022-10-15,407,41161,0.99%,21.11
2022-10-14,375,39122,0.96%,20.57
2022-10-13,407,40012,1.02%,19.92
2022-10-12,395,39414,1%,19.57
2022-10-11,415,40808,1.02%,20.49
2022-10-10,402,40412,0.99%,20.08
2022-10-09,455,42670,1.07%,19.65
2022-10-08,408,41283,0.99%,20.67
2022-10-07,411,38640,1.06%,20.93
2022-10-06,395,38978,1.01%,20.36
2022-10-05,407,38590,1.05%,20.6
2022-10-04,396,37961,1.04%,20.12
2022-10-03,398,34868,1.14%,21.91
2022-10-02,450,39226,1.15%,22.09
2022-10-01,459,42053,1.09%,19.99
2022-09-30,511,40233,1.27%,20.85
2022-09-29,498,39910,1.25%,18.63
2022-09-28,387,39865,0.97%,19.04
2022-09-27,420,40436,1.04%,18.4
2022-09-26,410,42310,0.97%,18.54
2022-09-25,444,44506,1%,18.66
2022-09-24,428,43616,0.98%,19.38
2022-09-23,410,40070,1.02%,19.29
2022-09-22,416,39576,1.05%,18.33
2022-09-21,397,38296,1.04%,19.92
2022-09-20,433,39616,1.09%,19.27
2022-09-19,391,40143,0.97%,19.42
2022-09-18,456,43464,1.05%,19.15
2022-09-17,422,40868,1.03%,19.72
2022-09-16,403,37950,1.06%,19.81
2022-09-15,390,39971,0.98%,19.43
2022-09-14,380,40549,0.94%,19.63
2022-09-13,384,40890,0.94%,19.52
2022-09-12,343,38877,0.88%,19.51
2022-09-11,401,40822,0.98%,19.55
2022-09-10,336,38708,0.87%,20.34
2022-09-09,355,34877,1.02%,19.84
2022-09-08,411,38110,1.08%,20.09
2022-09-07,387,39627,0.98%,18.7
2022-09-06,389,40572,0.96%,18.16
2022-09-05,428,42568,1.01%,18.15
2022-09-04,439,42884,1.02%,17.59
2022-09-03,412,42781,0.96%,18.92
2022-09-02,369,42230,0.87%,19.62
2022-09-01,359,42138,0.85%,19.4
2022-08-31,331,41141,0.8%,19.61
2022-08-30,359,39069,0.92%,18.62
2022-08-29,356,41426,0.86%,19.25
2022-08-28,342,38744,0.88%,18.99
2022-08-27,338,38025,0.89%,19.89
2022-08-26,314,35614,0.88%,19.86
2022-08-25,341,36479,0.93%,19.69
2022-08-24,362,36439,0.99%,18.97
2022-08-23,318,37904,0.84%,18.97
2022-08-22,366,38099,0.96%,19.76
2022-08-21,327,36723,0.89%,20.37
2022-08-20,353,36279,0.97%,21.07
2022-08-19,285,36037,0.79%,20.35
2022-08-18,328,35077,0.94%,20.09
2022-08-17,375,34815,1.08%,19.75
2022-08-16,355,33505,1.06%,20.97
2022-08-15,314,34690,0.91%,23.06
2022-08-14,316,35197,0.9%,23.24
2022-08-13,307,32172,0.95%,23.48
2022-08-12,276,31788,0.87%,22.98
2022-08-11,269,31920,0.84%,22.84
2022-08-10,301,32527,0.93%,23.21
2022-08-09,303,32750,0.93%,23.01
2022-08-08,291,34152,0.85%,23.06
2022-08-07,307,36052,0.85%,23.59
2022-08-06,254,32440,0.78%,23.03
2022-08-05,273,34162,0.8%,23.83
2022-08-04,308,33340,0.92%,23.42
2022-08-03,291,35274,0.82%,24.56
2022-08-02,328,35447,0.93%,23.91
2022-08-01,311,38764,0.8%,25.43
2022-07-31,266,35423,0.75%,25.22
2022-07-30,288,33534,0.86%,24.3
2022-07-29,298,33198,0.9%,24.51
2022-07-28,258,32939,0.78%,23.97
2022-07-27,277,32828,0.84%,24.87
2022-07-26,308,33584,0.92%,25.12
2022-07-25,297,33098,0.9%,25.99
2022-07-24,329,32219,1.02%,25.8
2022-07-23,300,30800,0.97%,26.47
2022-07-22,300,31012,0.97%,26.46
2022-07-21,307,31568,0.97%,26.41
2022-07-20,252,32044,0.79%,26.79
2022-07-19,285,32423,0.88%,27.03
2022-07-18,316,34102,0.93%,27.84
2022-07-17,292,32787,0.89%,26.57
2022-07-16,272,34149,0.8%,27.59
2022-07-15,248,35585,0.7%,27.19
2022-07-14,256,34407,0.74%,24.97
2022-07-13,265,35022,0.76%,26.11
2022-07-12,297,32794,0.91%,25.01
2022-07-11,282,33192,0.85%,26.05
2022-07-10,274,32273,0.85%,25.03
2022-07-09,286,30074,0.95%,25.28
2022-07-08,260,29512,0.88%,25.28
2022-07-07,282,31332,0.9%,25.25
2022-07-06,283,32303,0.88%,25.87
2022-07-05,291,31249,0.93%,25.24
2022-07-04,285,34311,0.83%,26.28
2022-07-03,267,33354,0.8%,27.26
2022-07-02,235,33123,0.71%,27.56
2022-07-01,252,32773,0.77%,28.13
2022-06-30,257,30480,0.84%,26.56
2022-06-29,267,32229,0.83%,27.25
2022-06-28,297,32375,0.92%,26.98
2022-06-27,260,32160,0.81%,26.4
2022-06-26,285,31923,0.89%,26.31
2022-06-25,275,31554,0.87%,27.07
2022-06-24,281,30491,0.92%,26.82
2022-06-23,302,30398,0.99%,25.77
2022-06-22,289,31511,0.92%,26.55
2022-06-21,305,30599,1%,25.9
2022-06-20,272,31433,0.87%,26.29
2022-06-19,254,33555,0.76%,26.26
2022-06-18,257,31769,0.81%,26.4
2022-06-17,280,31193,0.9%,25.93
2022-06-16,300,31762,0.94%,25.6
2022-06-15,285,31781,0.9%,26.79
2022-06-14,291,35977,0.81%,27.35
